id	name	formula	inchi	solubility	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	lot_num	location	purchase_date	Average Molecular weight (g/mol)	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Class	Retention time	Date of Prep	Protocol ID	Comments	Sample weight for stock (mg) 
128	Triacetin (C2:0)	C9H14O6		Methanol/IPA		17810					5541															
129	Tributyrin (C4:0)	C15H26O6		Methanol/IPA		17810					6050															
131	Tricaprylin (C8:0)	C27H50O6		Methanol/IPA		17810					10850															
130	Tricaproin (C6:0)	C21H38O6		Methanol/IPA		17810					12131															
132	Tricaprin (C10:0)	C33H62O6		Methanol/IPA		17810					69310															
112	Glyceryl trioctanoate	C27H50O6		Methanol/IPA		17811					10850															
110	Glyceryl tridodecanoate	C39H74O6		Methanol/IPA		17811					10851															
113	Tripalmitin 	C51H98O6		Methanol/IPA		17811					11147															
111	Glyceryl trimyristate 	C45H86O6		Methanol/IPA		17811					11148															
109	Glyceryl tridecanoate	C33H62O6		Methanol/IPA		17811					69310															
89	D-Sphingosine	C18H37NO2		Methanol/IPA		44066					5353955															
87	1,2-Dierucoyl-sn-glycero-3-phosphocholine	 C52H100NO8P  		Methanol/IPA		77017					24779126															
84	Cholesteryl acetate	C29H48O2		Methanol/IPA		151114					6427285															
82	4-Cholesten-3-one	C27H44O		Methanol/IPA		188174					91477															
147	DPPI(4,5)P2	C41H78O19P3		Methanol/IPA	Cayman	10008115																				
72	2,5-Dihydroxybenzoic acid	C7H6O4		Methanol/IPA		149357					3469															
126	Glyceryl trioleate 	C57H104O6		Methanol/IPA		1787-1AMP					5497163															
124	1,3-Diolein 	C39H72O5		Methanol/IPA		1787-1AMP					5497165															
125	1,2-Dioleoyl-rac-glycerol 	C39H72O5		Methanol/IPA		1787-1AMP					9543716															
127	Monoolein	C21H40O4		Methanol/IPA		1787-1AMP					16081932															
86	1,2-Dierucoyl-sn-glycero-3-phosphoethanolamine	C49H94NO8P  		Methanol/IPA		74576 S					71311796															
48	Adenosine monophosphate	C10H14N5O7P		Water/Methanol		A1752					6083															
74	Acetyl coA 	C23H38N7O17P3S		Methanol/IPA		A2056					444493															
49	Adenosine triphosphate 	C10H14N5Na2O13P3 		Water/Methanol		A2383					5957															
50	Adenosine diphosphate 	C10H15N5O10P2		Water/Methanol		A2754					6022															
30	Arabinose	C5H10O5		Water		A3131-5G					66308															
195	Acetylcholine chloride	C7H16ClNO2		Methanol/IPA		A6625					6060															
51	Adenosine	C10H13N5O4		Water/Methanol		A9251					60961															
58	Aminobenzoic acid	H2NC6H4CO2H		less water souble		A9878					7057990															
176	18:1 CA Cardiolipin 	C81H148O17P2		Methanol/IPA	Avanti	710335																				
179	18:1 DAG	C39H72O5		Methanol/IPA	Avanti	800811																				
177	POPS	C40H75NO10P		Methanol/IPA	Avanti	840034																				
173	DOPS	C42H77NO10P		Methanol/IPA	Avanti	840035																				
146	P14P	C47H82O16P2		Methanol/IPA	Avanti	840045					46891797															
166	DOPE			Methanol/IPA	Avanti	840149P																				
174	DOPG	C42H78O10P		Methanol/IPA	Avanti	840475																				
167	POPE			Methanol/IPA	Avanti	840757P																				
171	POPA	C37H70O8P		Methanol/IPA	Avanti	840857																				
165	DOPA	C39H72O8P		Methanol/IPA	Avanti	840875P																				
188	18:0 Lyso PI 	C27H52O12P		Methanol/IPA	Avanti	850104P																				
175	DOPI	C45H82O13P		Methanol/IPA	Avanti	850149P																				
150	DOPI(3)P	C45H82O16P2		Methanol/IPA	Avanti	850150P																				
145	PIP[5'](18:1/18:1)	C45H84O16P2		Methanol/IPA	Avanti	850152P					53480157															
144	PIP2[3',4'](18:1(9Z)/18:1(9Z))	C45H81O19P3		Methanol/IPA	Avanti	850153P					53480283															
143	PIP2[3',5'](18:1(9Z)/18:1(9Z))	C45H81O19P3		Methanol/IPA	Avanti	850154P					53480283															
151	DOPI(3,4,5)P3	C45H82O22P4		Methanol/IPA	Avanti	850156P																				
170	DPPC	C40H80NO8P		Methanol/IPA	Avanti	850355																				
182	DOPC 	C44H84NO8P		Methanol/IPA	Avanti	850375C																				
172	POPC	C42H82NO8P		Methanol/IPA	Avanti	850457P																				
183	POPC 	C42H82NO8P		Methanol/IPA	Avanti	850457P																				
169	DOPE	C43H82NO8P		Methanol/IPA	Avanti	850852C																				
187	18:0 Lyso PC 	C26H54NO7P		Methanol/IPA	Avanti	855775P																				
186	18:0 Lyso PA	C21H42O7P		Methanol/IPA	Avanti	857128P																				
189	18:1 LysoPS 	C24H45NO9P		Methanol/IPA	Avanti	858143P																				
160	Sphingosine	C18H37NO2		Methanol/IPA	Avanti	860490					5353955															
155	PHS-1-P	C18H40NO6P		Methanol/IPA	Avanti	860491																				
161	S-1P	C18H38NO5P		Methanol/IPA	Avanti	860492																				
158	DHS	C18H39NO2		Methanol/IPA	Avanti	860498																				
159	PHS	C18H39NO3		Methanol/IPA	Avanti	860499																				
157	C16 Ceramide 	C34H67NO3		Methanol/IPA	Avanti	860516																				
163	C18 Ceramides 	C36H71NO3		Methanol/IPA	Avanti	860518																				
156	C16 Ceramide 1P	C34H67NO6P		Methanol/IPA	Avanti	860533P																				
154	DHS-1-P	C18H40NO5P		Methanol/IPA	Avanti	860536																				
185	18 Ceramide-1P	C36H69NO6P		Methanol/IPA	Avanti	860599																				
153	Dihydroceramide	C36H73NO3		Methanol/IPA	Avanti	860627																				
184	DOPE PEG350	C57H107NO17P		Methanol/IPA	Avanti	880430C																				
228	PIP[3'](17:0/20:4)	C46H82O16P2		Methanol/IPA	Avanti	LM-1900			LMGP07010002																	
229	17:0-20:4 PI(3,4)P2	C46H80O19P3		Methanol/IPA	Avanti	LM-1903			LMGP08010001																	
230	LMGP09010001	C46H80O22P4		Methanol/IPA	Avanti	LM-1906			LMGP09010001																	
220	d5-TG ISTD Mix I	C47H83D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010009																	
221	d5-TG ISTD Mix I	C51H91D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010010																	
222	d5-TG ISTD Mix I	C53H97D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010011																	
223	d5-TG ISTD Mix I	C54H97D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010012																	
224	d5-TG ISTD Mix I	C53H97D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010013																	
225	d5-TG ISTD Mix I	C63H115D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010014																	
226	d5-TG ISTD Mix I	C61H99D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010015																	
227	d5-TG ISTD Mix I	C61H93D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010016																	
215	d5-DG ISTD Mix I	C43H59D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010308																	
207	d5-DG ISTD Mix I	C31H55D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010309																	
208	d5-DG ISTD Mix I	C33H59D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010310																	
209	d5-DG ISTD Mix I	C35H63D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010311																	
210	d5-DG ISTD Mix I	C37H67D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010312																	
211	d5-DG ISTD Mix I	C41H75D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010313																	
212	d5-DG ISTD Mix I	C43H79D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010314																	
213	d5-DG ISTD Mix I	C43H71D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010315																	
