id	name	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	inchi	smiles	formula	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Solubility	Class	Retention time	Date of Prep	Protocol ID	Comments	lot_num	purchase_date
0	1	L-Leucine	Sigma	L80000				71000-80-1; 21675-61-6; 25248-98-0; 70-45-1	6106	ROHFNLRQFUQHCH-YFKPBYRVSA-N		C6H13NO2	131.09463	130.0868	132.1025	154.08440	149.12900	Water/acidic	Amino acids						
1	2	L-Arginine	Sigma	A5006				142-49-4; 7200-25-1; 4455-52-1; 17806-42-7	28782	ODKSFYDXXFIFQN-BYPYZUCNSA-N		C6H14N4O2 	174.11168	173.1039	175.1195	197.10145	192.14605	Water/acidic	Amino acids						
2	3	L-Histidine	Sigma	H8000				30641-68-0; 150-35-6; 155304-24-8; 35479-49-3; 35558-59-9; 45955-20-2; 54166-13-1; 26062-48-6	6274	HNDVDQJCIGZPNO-YFKPBYRVSA-N		C6H9N3O2	155.06948	154.0617	156.0773	178.05925	173.10385	Water/acidic	Amino acids						
3	4	L-Alanine	Sigma	A0325000				115967-49-2; 170805-71-7; 130380-93-7; 77160-91-9; 25191-17-7; 18875-37-1	5950	QNAYBMKLOCPYGJ-REOHCLBHSA-N		C3H7NO2	89.04768	88.0399	90.0555	112.03745	107.08205	Water/acidic	Amino acids						
4	5	Glycine 	Sigma	50046				32817-15-5; 33242-26-1; 52955-63-2; 57678-19-0; 63183-41-5; 7490-95-1; 87867-94-5; 25718-94-9; 56-40-6; 17829-66-2	5257127	DHMQDGOQFOQNFH-UHFFFAOYSA-N		C2H5NO2	75.03203	74.0242	76.0399	98.02180	93.06640	Water/acidic	Amino acids						
5	6	L-Proline	Sigma	P0380				18875-45-1; 4305-67-3; 4607-28-7; 37159-97-0	145742	ONIBWKKTOPOVIA-BYPYZUCNSA-N		C5H9NO2	115.06333	114.0555	116.0712	138.05310	133.09770	Water/acidic	Amino acids						
6	7	L-Asparagine	Sigma	A0884				32640-57-6; 328-41-6	6267	DCXYFEDJOCDNAF-REOHCLBHSA-N		C4H8N2O3	132.05349	131.0457	133.0613	155.04326	150.08787	Water/acidic	Amino acids						
7	8	Myo-Inositol	Sigma	I5125-50G				488-58-4; 173524-45-3; 6917-35-7; 643-12-9; 551-72-4; 488-55-1; 643-10-7; 488-59-5; 53319-35-0; 87-89-8; 38876-99-2	892	CDAISMWEOUEBRE-UHFFFAOYSA-N		C6H12O6	180.06339	179.0556	181.0712	203.05316	198.09776	Water/acidic	Amino acids						
8	9	L-Cysteine	Sigma	752738				62488-11-3; 345909-32-2	5862	XUJNEKJLAYXESH-REOHCLBHSA-N		C3H7NO2S	121.01975	120.0119	122.0276	144.00952	139.05413	Water/acidic	Amino acids						
9	10	Adenine 	Sigma	A8626				73-24-5; 22051-90-7; 42911-33-1; 42911-34-2; 520-75-2	190	GFFGJBXGBJISGV-UHFFFAOYSA-N		C5H5N5	135.05450	134.0467	136.0623	158.04427	153.08887	Water/acidic	Amino acids						
10	11	L-Lysine	Sigma	L5501				26714-32-9; 25104-18-1; 6899-06-5; 280114-50-3; 48050-57-3; 12798-06-0; 20166-34-1	5962	KDXKERNSBIXSRK-YFKPBYRVSA-N		C6H14N2O2	146.10553	145.0977	147.1134	169.09530	164.13990	Water/acidic	Amino acids						
